"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-15,"FT8","14.075943","2022-10-15 18:35:41","United States",1665858941,"N0CML","EM48PS","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-19,"FT8","14.074302","2022-10-15 18:35:44","United States",1665858944,"K5RES","EM93xa","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-3,"FT8","14.075260","2022-10-15 18:35:45","United States",1665858945,"KC1QBY","FN44RG","WE9V","EN52xn","Dipole at 100' / 30m",291,
-14,"FT8","14.075338","2022-10-15 18:35:57","United States",1665858957,"KC1QBY","FN44RG","N4QA","EM97QE","QDX #1 at 150 milliwatts to AH-4 and 80 meters long end-fed wire.",291,
-18,"FT8","14.075358","2022-10-15 18:35:57","United States",1665858957,"KC1QBY","FN44RG","DH8BAB","JO43BJ","Slooper  16 Mtr",291,
-19,"FT8","14.075355","2022-10-15 18:35:57","United States",1665858957,"KC1QBY","FN44RG","W8RJC","EN72dx45","End-Fed Vertical ",291,
-20,"FT8","14.075346","2022-10-15 18:35:57","United States",1665858957,"KC1QBY","FN44RG","K4MQL","EM83xq09ku",,291,
-18,"FT8","14.075344","2022-10-15 18:35:57","United States",1665858957,"KC1QBY","FN44RG","WX9EP","EN54BE",,291,
-9,"FT8","14.075364","2022-10-15 18:35:57","United States",1665858957,"KC1QBY","FN44RG","W9JJB","EN52wc49lm",,291,
-21,"FT8","14.075351","2022-10-15 18:35:59","United States",1665858959,"KC1QBY","FN44RG","NN2T","EM90ed28",,291,
-16,"FT8","14.075356","2022-10-15 18:36:01","United States",1665858961,"KC1QBY","FN44RG","OZ5GW","JO45mu",,291,
-15,"FT8","14.075342","2022-10-15 18:36:05","United States",1665858965,"KC1QBY","FN44RG","KO4HPA","EM66rg",,291,
