grid,lat,lon
AH40,-20.0,-172.0
AH41,-19.0,-172.0
AH42,-18.0,-172.0
AH43,-17.0,-172.0
AH44,-16.0,-172.0
AH45,-15.0,-172.0
AH46,-14.0,-172.0
AH47,-13.0,-172.0
AH48,-12.0,-172.0
AH49,-11.0,-172.0
AH50,-20.0,-170.0
AH51,-19.0,-170.0
AH52,-18.0,-170.0
AH53,-17.0,-170.0
AH54,-16.0,-170.0
AH55,-15.0,-170.0
AH56,-14.0,-170.0
AH57,-13.0,-170.0
AH58,-12.0,-170.0
AH59,-11.0,-170.0
AH60,-20.0,-168.0
AH61,-19.0,-168.0
AH62,-18.0,-168.0
AH63,-17.0,-168.0
AH64,-16.0,-168.0
AH65,-15.0,-168.0
AH66,-14.0,-168.0
AH67,-13.0,-168.0
AH68,-12.0,-168.0
AH69,-11.0,-168.0
AH70,-20.0,-166.0
AH71,-19.0,-166.0
AH72,-18.0,-166.0
AH73,-17.0,-166.0
AH74,-16.0,-166.0
AH75,-15.0,-166.0
AH76,-14.0,-166.0
AH77,-13.0,-166.0
AH78,-12.0,-166.0
AH79,-11.0,-166.0
AH80,-20.0,-164.0
AH81,-19.0,-164.0
AH82,-18.0,-164.0
AH83,-17.0,-164.0
AH84,-16.0,-164.0
AH85,-15.0,-164.0
AH86,-14.0,-164.0
AH87,-13.0,-164.0
AH88,-12.0,-164.0
AH89,-11.0,-164.0
AH90,-20.0,-162.0
AH91,-19.0,-162.0
AH92,-18.0,-162.0
AH93,-17.0,-162.0
AH94,-16.0,-162.0
AH95,-15.0,-162.0
AH96,-14.0,-162.0
AH97,-13.0,-162.0
AH98,-12.0,-162.0
AH99,-11.0,-162.0
AI00,-10.0,-180.0
AI01,-9.0,-180.0
AI02,-8.0,-180.0
AI03,-7.0,-180.0
AI04,-6.0,-180.0
AI05,-5.0,-180.0
AI06,-4.0,-180.0
AI07,-3.0,-180.0
AI08,-2.0,-180.0
AI09,-1.0,-180.0
AI10,-10.0,-178.0
AI11,-9.0,-178.0
AI12,-8.0,-178.0
AI13,-7.0,-178.0
AI14,-6.0,-178.0
AI15,-5.0,-178.0
AI16,-4.0,-178.0
AI17,-3.0,-178.0
AI18,-2.0,-178.0
AI19,-1.0,-178.0
AI20,-10.0,-176.0
AI21,-9.0,-176.0
AI22,-8.0,-176.0
AI23,-7.0,-176.0
AI24,-6.0,-176.0
AI25,-5.0,-176.0
AI26,-4.0,-176.0
AI27,-3.0,-176.0
AI28,-2.0,-176.0
AI29,-1.0,-176.0
AI30,-10.0,-174.0
AI31,-9.0,-174.0
AI32,-8.0,-174.0
AI33,-7.0,-174.0
AI34,-6.0,-174.0
AI35,-5.0,-174.0
AI36,-4.0,-174.0
AI37,-3.0,-174.0
AI38,-2.0,-174.0
AI39,-1.0,-174.0
AI40,-10.0,-172.0
AI41,-9.0,-172.0
AI42,-8.0,-172.0
AI43,-7.0,-172.0
AI44,-6.0,-172.0
AI45,-5.0,-172.0
AI46,-4.0,-172.0
AI47,-3.0,-172.0
AI48,-2.0,-172.0
AI49,-1.0,-172.0
AI50,-10.0,-170.0
AI51,-9.0,-170.0
AI52,-8.0,-170.0
AI53,-7.0,-170.0
AI54,-6.0,-170.0
AI55,-5.0,-170.0
AI56,-4.0,-170.0
AI57,-3.0,-170.0
AI58,-2.0,-170.0
AI59,-1.0,-170.0
AI60,-10.0,-168.0
AI61,-9.0,-168.0
AI62,-8.0,-168.0
AI63,-7.0,-168.0
AI64,-6.0,-168.0
AI65,-5.0,-168.0
AI66,-4.0,-168.0
AI67,-3.0,-168.0
AI68,-2.0,-168.0
AI69,-1.0,-168.0
AI70,-10.0,-166.0
AI71,-9.0,-166.0
AI72,-8.0,-166.0
AI73,-7.0,-166.0
AI74,-6.0,-166.0
AI75,-5.0,-166.0
AI76,-4.0,-166.0
AI77,-3.0,-166.0
AI78,-2.0,-166.0
AI79,-1.0,-166.0
AI80,-10.0,-164.0
AI81,-9.0,-164.0
AI82,-8.0,-164.0
AI83,-7.0,-164.0
AI84,-6.0,-164.0
AI85,-5.0,-164.0
AI86,-4.0,-164.0
AI87,-3.0,-164.0
AI88,-2.0,-164.0
AI89,-1.0,-164.0
AI90,-10.0,-162.0
AI91,-9.0,-162.0
AI92,-8.0,-162.0
AI93,-7.0,-162.0
AI94,-6.0,-162.0
AI95,-5.0,-162.0
AI96,-4.0,-162.0
AI97,-3.0,-162.0
AI98,-2.0,-162.0
AI99,-1.0,-162.0
AJ00,0.0,-180.0
AJ01,1.0,-180.0
AJ02,2.0,-180.0
AJ03,3.0,-180.0
AJ04,4.0,-180.0
AJ05,5.0,-180.0
AJ06,6.0,-180.0
AJ07,7.0,-180.0
AJ08,8.0,-180.0
AJ09,9.0,-180.0
AJ10,0.0,-178.0
AJ11,1.0,-178.0
AJ12,2.0,-178.0
AJ13,3.0,-178.0
AJ14,4.0,-178.0
AJ15,5.0,-178.0
AJ16,6.0,-178.0
AJ17,7.0,-178.0
AJ18,8.0,-178.0
AJ19,9.0,-178.0
AJ20,0.0,-176.0
AJ21,1.0,-176.0
AJ22,2.0,-176.0
AJ23,3.0,-176.0
AJ24,4.0,-176.0
AJ25,5.0,-176.0
AJ26,6.0,-176.0
AJ27,7.0,-176.0
AJ28,8.0,-176.0
AJ29,9.0,-176.0
AJ30,0.0,-174.0
AJ31,1.0,-174.0
AJ32,2.0,-174.0
AJ33,3.0,-174.0
AJ34,4.0,-174.0
AJ35,5.0,-174.0
AJ36,6.0,-174.0
AJ37,7.0,-174.0
AJ38,8.0,-174.0
AJ39,9.0,-174.0
AJ40,0.0,-172.0
AJ41,1.0,-172.0
AJ42,2.0,-172.0
AJ43,3.0,-172.0
AJ44,4.0,-172.0
AJ45,5.0,-172.0
AJ46,6.0,-172.0
AJ47,7.0,-172.0
AJ48,8.0,-172.0
AJ49,9.0,-172.0
AJ50,0.0,-170.0
AJ51,1.0,-170.0
AJ52,2.0,-170.0
AJ53,3.0,-170.0
AJ54,4.0,-170.0
AJ55,5.0,-170.0
AJ56,6.0,-170.0
AJ57,7.0,-170.0
AJ58,8.0,-170.0
AJ59,9.0,-170.0
AJ60,0.0,-168.0
AJ61,1.0,-168.0
AJ62,2.0,-168.0
AJ63,3.0,-168.0
AJ64,4.0,-168.0
AJ65,5.0,-168.0
AJ66,6.0,-168.0
AJ67,7.0,-168.0
AJ68,8.0,-168.0
AJ69,9.0,-168.0
AJ70,0.0,-166.0
AJ71,1.0,-166.0
AJ72,2.0,-166.0
AJ73,3.0,-166.0
AJ74,4.0,-166.0
AJ75,5.0,-166.0
AJ76,6.0,-166.0
AJ77,7.0,-166.0
AJ78,8.0,-166.0
AJ79,9.0,-166.0
AJ80,0.0,-164.0
AJ81,1.0,-164.0
AJ82,2.0,-164.0
AJ83,3.0,-164.0
AJ84,4.0,-164.0
AJ85,5.0,-164.0
AJ86,6.0,-164.0
AJ87,7.0,-164.0
AJ88,8.0,-164.0
AJ89,9.0,-164.0
AJ90,0.0,-162.0
AJ91,1.0,-162.0
AJ92,2.0,-162.0
AJ93,3.0,-162.0
AJ94,4.0,-162.0
AJ95,5.0,-162.0
